Site,Type,Classification,Date,Time,Duration,Depth,Visibility,Weather,Current,Boats,Researcher,Parrotfish,Rabbitfish,Butterflyfish,Angelfish,Cleaner_Wrasse,Batfish,Thicklip,Red_Breast,Slingjaw,Sweetlips,Squirrel_Soldier,Triggerfish,Porcupine_Puffer,Ray,Brown_Stripe_Snapper,Russels_Snapper,lrg_Snapper,Eel,Trevally,Emperorfish,sml_Grouper,lrg_Grouper,Barracuda,total_N
Aow Mao,Natural,Fringing,04/19/2025,15:00,8,8.2,3,1,None,1,Niamh,26.0,23.0,16.0,0.0,2.0,0.0,5,1.0,5.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,13.0,1,0,93.0
Aow Mao Wreck,Artificial,Shipwreck,04/19/2025,13:00,8,17.6,3,1,None,1,Tessa,0.0,1.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,1.0,0.0,0,0,7.0
Aow Mao Wreck,Artificial,Shipwreck,04/19/2025,13:00,8,17.6,3,1,None,1,Niamh,2.0,4.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,6.0,0,0.0,0.0,0.0,3,0,21.0
No Name ,Natural ,Pinnacle,04/23/2025,7:42,8,18,15,2,None,3,Camille,11.0,11.0,10.0,0.0,4.0,0.0,1,3.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,6.0,2.0,25.0,1,0,75.0
No Name ,Natural ,Pinnacle,04/23/2025,7:42,8,18,15,2,None,3,Lucca,6.0,7.0,6.0,0.0,4.0,0.0,0,2.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,3.0,3.0,13.0,1,0,46.0
No Name Wreck,Artificial,Shipwreck,04/23/2025,7:32,8,24,20,2,None,3,Camille,13.0,17.0,6.0,1.0,0.0,0.0,0,2.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,13.0,0,17.0,1.0,6.0,2,0,81.0
No Name Wreck,Artificial,Shipwreck,04/23/2025,7:32,8,24,20,2,None,3,Lucca,7.0,20.0,7.0,1.0,0.0,0.0,0,0.0,2.0,0,0.0,0.0,0.0,0,0.0,0.0,12.0,0,7.0,0.0,0.0,0,0,56.0
Aow Mao,Natural,Fringing,04/24/2025,13:18,8,8.4,10,2,None,0,Camille,8.0,14.0,17.0,1.0,0.0,0.0,2,1.0,4.0,0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,11.0,1,0,62.0
Aow Mao,Natural,Fringing,04/24/2025,13:18,8,8.4,10,2,None,0,Tessa,6.0,16.0,9.0,0.0,0.0,0.0,1,3.0,1.0,0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,11.0,0,0,50.0
Aow Mao,Natural,Fringing,04/24/2025,13:25,8,8.4,10,2,None,0,Camille,32.0,35.0,23.0,1.0,2.0,0.0,1,6.0,2.0,0,2.0,1.0,0.0,4,0.0,0.0,0.0,0,0.0,1.0,5.0,0,0,115.0
Aow Mao,Natural,Fringing,04/24/2025,13:25,8,8.4,10,2,None,0,Tessa,19.0,20.0,25.0,0.0,0.0,0.0,0,1.0,1.0,0,2.0,0.0,0.0,0,3.0,0.0,0.0,0,0.0,0.0,7.0,0,0,78.0
Aow Mao,Natural,Fringing,04/24/2025,14:57,8,8,10,2,None,0,Renzo,26.0,25.0,37.0,0.0,4.0,0.0,2,5.0,6.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,1.0,2.0,12.0,3,0,125.0
Aow Mao,Natural,Fringing,04/24/2025,14:57,8,8,10,2,None,0,Camille,24.0,29.0,28.0,0.0,2.0,0.0,1,3.0,4.0,1,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,7.0,2,0,103.0
Aow Mao,Natural,Fringing,04/24/2025,14:57,8,8,10,2,None,0,Tessa,25.0,36.0,24.0,0.0,2.0,0.0,1,4.0,3.0,0,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,1.0,8.0,4,0,111.0
Aow Mao,Natural,Fringing,04/24/2025,14:57,8,7.5,10,2,None,0,Renzo,25.0,19.0,23.0,0.0,1.0,0.0,4,2.0,1.0,0,0.0,3.0,0.0,0,0.0,0.0,0.0,0,4.0,0.0,11.0,2,0,95.0
Aow Mao,Natural,Fringing,04/24/2025,14:57,8,7.5,10,2,None,0,Camille,16.0,17.0,17.0,1.0,0.0,0.0,2,1.0,1.0,0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,5.0,0.0,5.0,0,0,67.0
Aow Mao,Natural,Fringing,04/24/2025,14:57,8,7.5,10,2,None,0,Tessa,18.0,11.0,17.0,1.0,0.0,0.0,2,0.0,2.0,0,1.0,2.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,9.0,1,0,65.0
Hin Pee Wee,Natural ,Pinnacle,04/28/2025,9:16,8,13.5,5,3,None,NA,Lucca,2.0,1.0,9.0,0.0,2.0,0.0,0,3.0,0.0,1,0.0,1.0,0.0,0,0.0,39.0,0.0,0,1.0,1.0,11.0,0,0,71.0
Hin Pee Wee,Natural ,Pinnacle,04/28/2025,9:16,8,13.5,5,3,None,NA,Camille,5.0,8.0,16.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,1.0,0.0,0,36.0,0.0,0.0,0,2.0,6.0,2.0,0,0,77.0
Hin Pee Wee,Natural ,Pinnacle,04/28/2025,9:16,8,13.5,5,3,None,NA,Lucca,4.0,4.0,9.0,1.0,3.0,0.0,0,2.0,0.0,1,0.0,0.0,0.0,0,0.0,81.0,0.0,0,1.0,29.0,22.0,0,0,157.0
Hin Pee Wee,Natural ,Pinnacle,04/28/2025,9:16,8,13.5,5,3,None,NA,Camille,2.0,0.0,10.0,1.0,12.0,0.0,0,0.0,0.0,6,1.0,0.0,0.0,0,36.0,0.0,0.0,0,8.0,81.0,28.0,0,0,185.0
Sattakut,Artificial,Shipwreck,04/28/2025,7:23,8,17.3,5,3,None,2,Tessa,4.0,0.0,5.0,1.0,0.0,0.0,0,1.0,0.0,0,40.0,0.0,0.0,0,82.0,60.0,7.0,0,2.0,0.0,3.0,0,0,205.0
Sattakut,Artificial,Shipwreck,04/28/2025,7:23,8,17.5,5,3,None,2,Emma,5.0,0.0,6.0,1.0,1.0,0.0,0,3.0,0.0,0,32.0,0.0,0.0,0,65.0,88.0,12.0,0,2.0,1.0,3.0,1,0,220.0
Shark Island,Natural,Pinnacle,04/29/2025,7:00,8,14,10,2,Light,0,Renzo,12.0,8.0,15.0,2.0,8.0,0.0,0,1.0,0.0,0,0.0,1.0,0.0,0,117.0,0.0,2.0,0,212.0,5.0,7.0,1,0,391.0
Shark Island,Natural,Pinnacle,04/29/2025,7:12,8,13.6,10,2,Light,0,Emma,8.0,12.0,15.0,1.0,7.0,0.0,4,0.0,0.0,0,0.0,0.0,0.0,0,35.0,0.0,0.0,0,282.0,3.0,7.0,1,0,375.0
Shark Island,Natural,Pinnacle,04/29/2025,7:08,8,14,10,2,Light,0,Renzo,19.0,8.0,23.0,2.0,9.0,1.0,1,4.0,0.0,1,0.0,1.0,0.0,0,190.0,0.0,0.0,0,39.0,8.0,17.0,13,0,336.0
Shark Island,Natural,Pinnacle,04/29/2025,7:20,8,13.6,10,2,Light,0,Emma,16.0,7.0,14.0,3.0,9.0,0.0,3,3.0,0.0,1,0.0,1.0,0.0,0,123.0,0.0,0.0,0,98.0,2.0,4.0,13,0,297.0
Shark Island,Natural,Pinnacle,04/29/2025,9:09,8,10,12,3,Light,3,Camille,15.0,6.0,16.0,1.0,12.0,0.0,3,0.0,0.0,0,1.0,1.0,0.0,0,105.0,0.0,0.0,0,1.0,1.0,8.0,5,1,176.0
Shark Island,Natural,Pinnacle,04/29/2025,9:09,8,10,12,3,Light,3,Lucca,7.0,4.0,9.0,1.0,6.0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0,80.0,0.0,0.0,0,0.0,2.0,1.0,0,1,112.0
Shark Island,Natural,Pinnacle,04/29/2025,9:19,8,8,12,3,Light,3,Camille,34.0,22.0,24.0,3.0,14.0,0.0,2,3.0,0.0,1,1.0,1.0,0.0,0,0.0,0.0,0.0,0,16.0,5.0,23.0,6,1100,1255.0
Shark Island,Natural,Pinnacle,04/29/2025,9:19,8,8,12,3,Light,3,Lucca,16.0,11.0,7.0,3.0,6.0,3.0,1,1.0,1.0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,12.0,4.0,12.0,1,1120,1199.0
Shark Island,Natural,Pinnacle,04/29/2025,9:19,8,10,12,3,Light,3,Camille,11.0,10.0,17.0,3.0,20.0,1.0,1,1.0,1.0,0,0.0,1.0,0.0,0,0.0,0.0,2.0,0,70.0,28.0,18.0,12,2450,2646.0
Shark Island,Natural,Pinnacle,04/29/2025,9:19,8,10,12,3,Light,3,Lucca,5.0,16.0,15.0,2.0,3.0,1.0,1,1.0,0.0,0,3.0,0.0,0.0,0,0.0,0.0,2.0,0,38.0,18.0,15.0,4,1000,1124.0
No Name Wreck,Artificial,Shipwreck,05/05/2025,7:00,8,21,8,3,None,1,Tessa,4.0,32.0,6.0,1.0,0.0,0.0,0,2.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,2.0,0,3.0,0.0,4.0,6,0,61.0
No Name Wreck,Artificial,Shipwreck,05/05/2025,7:00,8,21,8,3,None,1,Lucca,6.0,10.0,10.0,0.0,0.0,0.0,0,4.0,0.0,0,0.0,1.0,0.0,0,0.0,4.0,2.0,0,1.0,1.0,1.0,4,0,44.0
No Name Wreck,Artificial,Shipwreck,05/05/2025,7:00,8,21,8,3,None,1,Renzo,4.0,31.0,5.0,1.0,0.0,0.0,0,3.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,3.0,0,5.0,0.0,2.0,4,0,58.0
Sattakut,Artificial,Shipwreck,05/05/2025,9:09,8,24,4,3,None,3,Tessa,5.0,1.0,10.0,2.0,0.0,0.0,0,0.0,0.0,0,34.0,0.0,1.0,0,17.0,136.0,3.0,0,0.0,0.0,0.0,1,0,210.0
Sattakut,Artificial,Shipwreck,05/05/2025,9:09,8,24,4,3,None,3,Lucca,4.0,2.0,15.0,2.0,1.0,0.0,0,1.0,0.0,0,43.0,0.0,1.0,0,24.0,124.0,2.0,0,1.0,2.0,2.0,1,0,225.0
Sattakut,Artificial,Shipwreck,05/05/2025,9:09,8,24,4,3,None,3,Renzo,5.0,4.0,7.0,2.0,0.0,0.0,0,1.0,0.0,4,48.0,0.0,1.0,0,38.0,35.0,3.0,0,5.0,1.0,2.0,4,0,160.0
Sattakut,Artificial,Shipwreck,05/05/2025,9:09,8,24,6,3,None,3,Camille,7.0,12.0,13.0,1.0,1.0,0.0,0,1.0,0.0,5,35.0,0.0,0.0,0,55.0,200.0,5.0,0,4.0,0.0,1.0,6,0,346.0
Sattakut,Artificial,Shipwreck,05/05/2025,9:09,8,24,6,3,None,3,Jess,7.0,15.0,7.0,1.0,2.0,0.0,0,2.0,0.0,4,50.0,1.0,0.0,0,52.0,212.0,3.0,0,4.0,0.0,4.0,1,0,365.0
Aow Mao,Natural,Fringing,05/07/2025,13:15,8,10,8,1,None,0,Bjarne,24.0,18.0,17.0,2.0,2.0,0.0,0,4.0,2.0,0,6.0,1.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,11.0,0,0,88.0
Aow Mao,Natural,Fringing,05/07/2025,13:15,8,10,8,1,None,0,Lucca,13.0,13.0,8.0,2.0,2.0,0.0,1,4.0,0.0,0,3.0,3.0,0.0,0,0.0,1.0,0.0,0,1.0,0.0,11.0,0,0,62.0
White Rock ,Natural,Pinnacle,05/08/2025,15:01,8,11.2,20,2,None,6,Lucca,11.0,19.0,13.0,0.0,5.0,0.0,2,5.0,0.0,0,0.0,0.0,0.0,0,20.0,0.0,0.0,0,0.0,3.0,12.0,4,0,94.0
White Rock ,Natural,Pinnacle,05/08/2025,15:01,8,11.2,20,2,None,6,Tessa,9.0,34.0,13.0,0.0,5.0,0.0,2,7.0,0.0,0,0.0,0.0,0.0,0,44.0,0.0,0.0,0,0.0,6.0,23.0,6,0,149.0
White Rock ,Natural,Pinnacle,05/08/2025,15:01,8,11.2,20,2,None,6,Lucca,13.0,37.0,7.0,1.0,3.0,0.0,3,8.0,0.0,0,2.0,1.0,0.0,0,0.0,0.0,1.0,0,6.0,2.0,5.0,2,0,91.0
White Rock ,Natural,Pinnacle,05/08/2025,15:01,8,11.2,20,2,None,6,Tessa,12.0,32.0,7.0,1.0,7.0,0.0,2,9.0,0.0,0,5.0,0.0,0.0,0,0.0,0.0,1.0,0,8.0,3.0,12.0,2,0,101.0
White Rock ,Natural,Pinnacle,05/08/2025,15:01,8,11.2,20,2,None,6,Lucca,14.0,11.0,18.0,0.0,7.0,0.0,0,6.0,0.0,0,0.0,0.0,0.0,0,8.0,0.0,0.0,0,3.0,2.0,6.0,1,0,76.0
White Rock ,Natural,Pinnacle,05/08/2025,15:01,8,11.2,20,2,None,6,Tessa,21.0,9.0,11.0,0.0,9.0,0.0,0,7.0,0.0,0,0.0,0.0,0.0,0,5.0,0.0,1.0,0,4.0,5.0,17.0,1,0,90.0
Southwest,Natural,Pinnacle,05/09/2025,09:30,8,25,20,1,None,3,Lucca,0.0,35.0,1.0,0.0,2.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,3.0,0,26.0,0.0,1.0,0,0,68.0
Southwest,Natural,Pinnacle,05/09/2025,09:30,8,25,20,1,None,3,Tessa,3.0,12.0,7.0,1.0,1.0,0.0,0,0.0,0.0,0,5.0,0.0,0.0,0,0.0,2.0,3.0,0,18.0,1.0,11.0,12,0,76.0
Southwest,Natural,Pinnacle,05/09/2025,09:30,8,25,20,1,None,3,Bjarne,1.0,26.0,4.0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,5.0,0,33.0,1.0,7.0,3,0,81.0
Southwest,Natural,Pinnacle,05/09/2025,09:30,8,25,20,1,None,3,Lucca,3.0,16.0,1.0,2.0,0.0,0.0,0,0.0,0.0,0,2.0,0.0,0.0,0,2.0,21.0,7.0,0,38.0,1.0,6.0,8,0,107.0
Southwest,Natural,Pinnacle,05/09/2025,09:30,8,25,20,1,None,3,Tessa,7.0,14.0,8.0,0.0,3.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,236.0,14.0,0,48.0,1.0,9.0,7,120,467.0
Southwest,Natural,Pinnacle,05/09/2025,09:30,8,25,20,1,None,3,Bjarne,7.0,17.0,4.0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,17.0,152.0,20.0,0,50.0,2.0,4.0,1,50,326.0
No Name Wreck,Artificial,Shipwreck,05/13/2025,07:30,8,23,25,2,None,3,Bjarne,11.0,12.0,3.0,0.0,0.0,0.0,0,2.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,7.0,0,22.0,2.0,9.0,3,0,71.0
No Name Wreck,Artificial,Shipwreck,05/13/2025,07:30,8,23,25,2,None,3,Tessa,9.0,7.0,9.0,1.0,1.0,0.0,0,3.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,7.0,0,13.0,0.0,0.0,13,0,64.0
No Name Wreck,Artificial,Shipwreck,05/13/2025,07:30,8,23,25,2,None,3,Bjarne,9.0,11.0,3.0,1.0,4.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,0,0.0,0.0,10.0,0,9.0,1.0,4.0,1,0,56.0
No Name Wreck,Artificial,Shipwreck,05/13/2025,07:30,8,23,25,2,None,3,Tessa,10.0,21.0,9.0,2.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,11.0,0,7.0,1.0,1.0,5,0,69.0
Hin Pee Wee,Natural,Pinnacle,05/13/2025,09:30,8,15,15,2,None,3,Bjarne,3.0,4.0,13.0,2.0,4.0,1.0,0,3.0,0.0,1,1.0,0.0,0.0,0,0.0,5.0,0.0,0,0.0,12.0,45.0,0,150,244.0
Hin Pee Wee,Natural,Pinnacle,05/13/2025,09:30,8,15,15,2,None,3,Tessa,7.0,4.0,12.0,1.0,2.0,1.0,0,1.0,0.0,0,1.0,0.0,0.0,0,0.0,13.0,1.0,0,0.0,8.0,54.0,1,356,462.0
Hin Pee Wee,Natural,Pinnacle,05/13/2025,09:30,8,15,15,2,None,3,Bjarne,12.0,3.0,10.0,2.0,3.0,0.0,0,4.0,0.0,3,2.0,0.0,0.0,0,0.0,426.0,0.0,0,5.0,9.0,17.0,1,220,717.0
Hin Pee Wee,Natural,Pinnacle,05/13/2025,09:30,8,15,15,2,None,3,Tessa,14.0,38.0,13.0,0.0,2.0,0.0,0,5.0,0.0,0,0.0,0.0,0.0,0,1.0,478.0,3.0,0,4.0,9.0,9.0,8,311,895.0
Hin Pee Wee,Natural,Pinnacle,05/13/2025,09:30,8,15,15,2,None,3,Bjarne,7.0,7.0,15.0,5.0,3.0,0.0,1,2.0,0.0,2,0.0,0.0,0.0,0,0.0,7.0,0.0,0,5.0,11.0,25.0,2,0,92.0
Hin Pee Wee,Natural,Pinnacle,05/13/2025,09:30,8,15,15,2,None,3,Tessa,7.0,7.0,15.0,3.0,0.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,0,0.0,9.0,6.0,0,9.0,35.0,15.0,0,0,108.0
No Name,Natural,Pinnacle,05/13/2025,7:29,8,19,18,2,None,3,Camille,25.0,5.0,23.0,2.0,14.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,3.0,37.0,7,0,118.0
No Name,Natural,Pinnacle,05/13/2025,7:29,8,19,18,2,None,3,Lucca,16.0,5.0,8.0,2.0,8.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,5.0,22.0,1,0,68.0
No Name,Natural,Pinnacle,05/13/2025,7:39,8,19,18,2,None,3,Camille,26.0,58.0,17.0,6.0,13.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,3.0,28.0,14,0,168.0
No Name,Natural,Pinnacle,05/13/2025,7:39,8,19,18,2,None,3,Lucca,15.0,68.0,12.0,6.0,10.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,3.0,7.0,17.0,1,0,140.0
No Name,Natural,Pinnacle,05/13/2025,7:49,8,17,18,2,None,3,Camille,30.0,4.0,13.0,3.0,11.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.0,21.0,10,0,97.0
No Name,Natural,Pinnacle,05/13/2025,7:49,8,17,18,2,None,3,Lucca,19.0,7.0,10.0,3.0,4.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,5.0,15.0,6,0,70.0
Hin Pee Wee,Natural,Pinnacle,05/19/2025,10:09,8,14.8,10,3,None,12,Emma,6.0,3.0,16.0,1.0,2.0,1.0,2,4.0,0.0,4,0.0,1.0,0.0,0,4.0,207.0,2.0,0,1.0,9.0,7.0,0,415,685.0
Hin Pee Wee,Natural,Pinnacle,05/19/2025,10:09,8,15.1,10,3,None,12,Tessa,7.0,0.0,10.0,1.0,3.0,1.0,0,2.0,1.0,1,0.0,1.0,0.0,0,3.0,215.0,0.0,0,0.0,8.0,10.0,2,374,639.0
Hin Pee Wee,Natural,Pinnacle,05/19/2025,10:09,8,14.8,10,3,None,12,Emma,5.0,0.0,19.0,0.0,2.0,0.0,1,3.0,0.0,5,2.0,0.0,0.0,0,1.0,291.0,0.0,0,1.0,64.0,18.0,0,0,412.0
Hin Pee Wee,Natural,Pinnacle,05/19/2025,10:09,8,15.1,10,3,None,12,Tessa,6.0,0.0,4.0,0.0,0.0,0.0,0,3.0,1.0,8,0.0,0.0,0.0,0,3.0,347.0,0.0,0,5.0,32.0,22.0,0,0,431.0
Hin Pee Wee,Natural,Pinnacle,05/19/2025,10:09,8,23,13,3,None,6,Bjarne,12.0,5.0,16.0,0.0,2.0,0.0,0,2.0,0.0,6,0.0,0.0,0.0,0,7.0,84.0,1.0,0,1.0,33.0,22.0,0,0,191.0
Hin Pee Wee,Natural,Pinnacle,05/19/2025,10:09,8,23,13,3,None,6,Camille,11.0,6.0,14.0,0.0,2.0,0.0,1,2.0,0.0,5,0.0,0.0,0.0,0,5.0,60.0,2.0,0,2.0,52.0,23.0,1,0,186.0
Hin Pee Wee,Natural,Pinnacle,05/19/2025,10:09,8,20,13,3,None,6,Bjarne,8.0,3.0,9.0,3.0,1.0,0.0,0,2.0,0.0,4,0.0,0.0,0.0,0,0.0,109.0,0.0,0,6.0,46.0,15.0,0,300,506.0
Hin Pee Wee,Natural,Pinnacle,05/19/2025,10:09,8,20,13,3,None,6,Camille,6.0,0.0,8.0,3.0,4.0,0.0,0,0.0,0.0,6,0.0,0.0,0.0,0,1.0,155.0,0.0,0,4.0,47.0,13.0,0,450,697.0
Chumphon,Natural,Pinnacle,05/19/2025,7:53,8,16,15,3,Light,5,Emma,2.0,97.0,4.0,2.0,1.0,1.0,0,0.0,0.0,0,5.0,3.0,0.0,0,8.0,107.0,5.0,0,2.0,0.0,8.0,2,78,325.0
Chumphon,Natural,Pinnacle,05/19/2025,7:53,8,15.9,15,3,Light,5,Tessa,1.0,79.0,7.0,3.0,2.0,1.0,0,0.0,0.0,0,5.0,2.0,0.0,0,0.0,156.0,4.0,0,1.0,1.0,13.0,8,35,318.0
Chumphon,Natural,Pinnacle,05/19/2025,7:53,8,16,15,3,Light,5,Emma,8.0,13.0,13.0,2.0,4.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,0,1.0,1.0,1.0,0,0.0,0.0,8.0,5,131,189.0
Chumphon,Natural,Pinnacle,05/19/2025,7:53,8,15.9,15,3,Light,5,Tessa,8.0,17.0,7.0,1.0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,15.0,7,104,163.0
Chumphon,Natural,Pinnacle,05/19/2025,7:53,8,21,15,3,None,3,Camille,2.0,43.0,12.0,1.0,6.0,0.0,0,1.0,0.0,0,5.0,2.0,0.0,0,3.0,0.0,1.0,0,1.0,3.0,20.0,7,70,177.0
Chumphon,Natural,Pinnacle,05/19/2025,7:53,8,21,15,3,None,3,Bjarne,3.0,78.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0,4.0,1.0,0.0,0,2.0,0.0,1.0,0,1.0,2.0,9.0,5,41,155.0
Chumphon,Natural,Pinnacle,05/19/2025,7:53,8,21,15,3,None,3,Bjarne,5.0,5.0,14.0,2.0,5.0,5.0,0,1.0,0.0,0,2.0,0.0,0.0,0,3.0,0.0,3.0,0,0.0,0.0,17.0,2,2,66.0
Chumphon,Natural,Pinnacle,05/19/2025,7:53,8,21,15,3,None,3,Camille,9.0,7.0,17.0,2.0,4.0,5.0,0,0.0,0.0,0,1.0,1.0,0.0,0,4.0,0.0,2.0,0,0.0,0.0,17.0,5,3,77.0
Sattakut,Artificial,Shipwreck,05/19/2025,7:53,8,16.4,4,3,None,0,Lucca,1.0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,31.0,270.0,0.0,0,5.0,2.0,1.0,0,0,316.0
Sattakut,Artificial,Shipwreck,05/19/2025,7:53,8,16.4,4,3,None,0,Niamh,1.0,5.0,5.0,0.0,0.0,0.0,0,1.0,0.0,0,40.0,0.0,0.0,0,43.0,230.0,4.0,0,3.0,0.0,2.0,2,0,336.0
Sattakut,Artificial,Shipwreck,05/19/2025,7:53,8,16.4,4,3,None,0,Lucca,2.0,0.0,11.0,1.0,0.0,0.0,0,4.0,0.0,0,0.0,0.0,0.0,0,44.0,185.0,0.0,0,6.0,3.0,0.0,0,0,256.0
Sattakut,Artificial,Shipwreck,05/19/2025,7:53,8,16.4,4,3,None,0,Niamh,6.0,6.0,13.0,0.0,0.0,0.0,0,3.0,0.0,0,0.0,0.0,0.0,0,67.0,230.0,8.0,0,5.0,0.0,0.0,3,0,341.0
Shark island ,Natural,Pinnacle,05/22/2025,13:07,8,10.3,10,4,Light,0,Lucca,12.0,14.0,18.0,4.0,7.0,0.0,0,2.0,0.0,0,4.0,0.0,0.0,1,381.0,1.0,1.0,0,3.0,1.0,5.0,0,0,454.0
Shark island ,Natural,Pinnacle,05/22/2025,13:07,8,10.3,10,4,Light,0,Emma,9.0,5.0,21.0,4.0,9.0,1.0,0,2.0,0.0,0,9.0,0.0,0.0,1,422.0,1.0,0.0,0,12.0,1.0,2.0,0,0,499.0
Shark island ,Natural,Pinnacle,05/22/2025,13:07,8,10.3,10,4,Light,0,Lucca,7.0,14.0,9.0,1.0,4.0,0.0,0,2.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,23.0,0.0,6.0,4,0,72.0
Shark island ,Natural,Pinnacle,05/22/2025,13:07,8,10.3,10,4,Light,0,Emma,11.0,13.0,17.0,2.0,7.0,0.0,0,4.0,0.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,87.0,1.0,10.0,2,0,156.0
Shark island ,Natural,Pinnacle,05/22/2025,13:07,8,10.3,10,4,Light,0,Lucca,5.0,7.0,17.0,2.0,8.0,0.0,0,2.0,0.0,1,1.0,0.0,0.0,0,0.0,3.0,0.0,0,16.0,0.0,3.0,2,0,67.0
Shark island ,Natural,Pinnacle,05/22/2025,13:07,8,10.3,10,4,Light,0,Emma,5.0,15.0,25.0,1.0,8.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0,5.0,0.0,0.0,1,16.0,1.0,14.0,0,0,92.0
Shark island ,Natural,Pinnacle,05/22/2025,13:10,8,12,13,4,Light,0,Bjarne,13.0,34.0,34.0,0.0,12.0,0.0,0,1.0,0.0,0,8.0,0.0,0.0,1,166.0,0.0,0.0,0,2.0,5.0,12.0,1,0,289.0
Shark island ,Natural,Pinnacle,05/22/2025,13:10,8,12,13,4,Light,0,Camille,15.0,30.0,37.0,0.0,10.0,0.0,0,2.0,1.0,0,8.0,0.0,0.0,1,147.0,1.0,0.0,0,5.0,7.0,13.0,0,0,277.0
Shark island ,Natural,Pinnacle,05/22/2025,13:10,8,12,13,4,Light,0,Bjarne,5.0,15.0,33.0,1.0,15.0,0.0,2,5.0,0.0,0,6.0,0.0,0.0,0,321.0,0.0,0.0,0,7.0,4.0,14.0,0,0,428.0
Shark island ,Natural,Pinnacle,05/22/2025,13:10,8,12,13,4,Light,0,Camille,4.0,12.0,31.0,1.0,9.0,0.0,0,4.0,1.0,0,22.0,0.0,0.0,0,258.0,0.0,0.0,0,8.0,5.0,18.0,2,0,375.0
Shark island ,Natural,Pinnacle,05/22/2025,13:10,8,12,13,4,Light,0,Bjarne,19.0,12.0,13.0,1.0,10.0,9.0,1,0.0,1.0,0,0.0,0.0,0.0,0,0.0,4.0,1.0,0,9.0,8.0,21.0,0,0,109.0
Shark island ,Natural,Pinnacle,05/22/2025,13:10,8,12,13,4,Light,0,Camille,6.0,9.0,16.0,0.0,10.0,0.0,2,1.0,1.0,0,0.0,0.0,0.0,0,0.0,5.0,1.0,0,24.0,4.0,28.0,1,0,108.0
Aow Mao Wreck,Artificial,Shipwreck,05/27/2025,13:10,6,24,5,2,None,0,Scar,0.0,4.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,21.0,4.0,0,6.0,13.0,0.0,0,0,52.0
Aow Mao Wreck,Artificial,Shipwreck,05/27/2025,13:10,6,24,5,2,None,0,Ben,0.0,17.0,4.0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,21.0,4.0,0,3.0,30.0,1.0,0,0,81.0
