Site,Date_mm/dd/yy,Avg_Depth_m,Start_Time,Duration_min,Visibility_m,Weather,Current,Boats,Researcher,Parrotfish,Rabbitfish,Butterflyfish,Angelfish,Cleaner_Wrasse,Batfish,Thicklip,Red_Breast,Slingjaw,Sweetlips,Squirrel/Soldier,Triggerfish,Porcupine/Puffer,Ray,Snapper<30,Snapper>30,Eel,Trevally,Emperorfish,Grouper<30,Grouper>30,Barracuda,Total_abundance_N
Red Rock,09/16/2025,10,7:38,25,13,2,None,1,Maddie,69.0,31.0,68.0,3.0,7.0,0.0,8.0,13.0,4.0,0.0,16.0,3.0,0.0,0.0,45.0,0.0,0.0,2.0,7.0,46.0,1.0,0,323.0
Green Rock,09/16/2025,8.9,9:38,25,18,3,None,1,Maddie,109.0,73.0,71.0,1.0,13.0,0.0,11.0,13.0,6.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,2.0,6.0,6.0,48.0,3.0,0,370.0
Shark Island,09/24/2025,11,10:30,25,15,3,None,2,Scar,24.0,28.0,51.0,7.0,4.0,2.0,5.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,419.0,7.0,0.0,11.0,9.0,34.0,39.0,0,650.0
Shark Island,09/24/2025,11,10:30,25,15,3,None,2,jake,36.0,29.0,35.0,8.0,13.0,1.0,4.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,256.0,3.0,0.0,23.0,15.0,74.0,21.0,0,528.0
Red Rock,10/07/2025,10.3,7:38 AM,24,15,2,None,8,Marianna,44.0,33.0,39.0,3.0,6.0,0.0,2.0,10.0,4.0,0.0,15.0,0.0,0.0,0.0,57.0,0.0,0.0,13.0,3.0,37.0,5.0,0,271.0
Red Rock,10/07/2025,10.3,7:38,24,15,2,None,8,Lily,39.0,35.0,42.0,3.0,3.0,0.0,2.0,5.0,5.0,0.0,5.0,6.0,0.0,0.0,102.0,0.0,0.0,14.0,4.0,25.0,7.0,0,297.0
White Rock,10/07/2025,10.3,9:17,25,15,2,None,12,Thomas,55.0,93.0,53.0,5.0,10.0,0.0,5.0,11.0,2.0,0.0,158.0,3.0,0.0,0.0,215.0,2.0,0.0,10.0,15.0,112.0,50.0,0,799.0
White Rock,10/07/2025,10.3,9:17,25,15,2,None,12,Jake,60.0,93.0,73.0,7.0,12.0,0.0,5.0,23.0,2.0,2.0,145.0,2.0,0.0,0.0,237.0,7.0,1.0,17.0,25.0,137.0,30.0,1,879.0
White Rock,10/07/2025,12.1,9:24,25,15,2,None,12,Liam,34.0,40.0,43.0,1.0,9.0,0.0,4.0,17.0,4.0,0.0,117.0,1.0,0.0,0.0,203.0,0.0,0.0,7.0,5.0,56.0,2.0,0,543.0
White Rock,10/07/2025,12.1,9:24,25,15,2,None,12,Mathys,35.0,41.0,56.0,0.0,16.0,0.0,7.0,14.0,2.0,0.0,125.0,0.0,0.0,0.0,71.0,0.0,0.0,4.0,4.0,78.0,13.0,0,466.0
Twins,10/08/2025,10.5,13.04,25,15,3,Light,2,Simone ,51.0,56.0,38.0,2.0,10.0,0.0,6.0,23.0,19.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,19.0,73.0,5.0,0,309.0
Twins,10/08/2025,10.3,13:04,25,15,3,Light,2,Allie,40.0,47.0,42.0,3.0,12.0,0.0,10.0,19.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,18.0,51.0,8.0,0,272.0
Twins,10/08/2025,10.5,13:05,25,15,3,Light,2,Nicole,47.0,51.0,35.0,2.0,7.0,0.0,6.0,16.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,82.0,10.0,0,281.0
Twins,01/21/2026,15.6,13:34,25,10,3,Light,10,Jess,39.0,29.0,31.0,4.0,16.0,0.0,10.0,26.0,11.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,64.0,9.0,0,263.0
White Rock,01/21/2026,13.4,15:33,25,12,3,None,11,Jess,55.0,62.0,53.0,11.0,22.0,0.0,3.0,31.0,3.0,1.0,65.0,2.0,0.0,0.0,143.0,2.0,1.0,3.0,5.0,120.0,12.0,0,594.0
Twins,02/09/2026,11.5,13:21,25,8,3,None,9,Lauriane,37.0,10.0,38.0,3.0,4.0,0.0,12.0,23.0,9.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,14.0,26.0,18.0,0,203.0
Twins,02/09/2026,11.5,13:21,25,8,3,None,9,Jackson,37.0,11.0,39.0,3.0,5.0,0.0,11.0,17.0,13.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,12.0,28.0,20.0,0,201.0
Red Rock,02/10/2026,11,7:27,25,9,2,None,0,Steph,79.0,48.0,57.0,2.0,6.0,0.0,7.0,18.0,11.0,0.0,2.0,2.0,0.0,0.0,38.0,0.0,0.0,6.0,6.0,65.0,20.0,0,367.0
Green Rock,02/10/2026,12,9:20,25,9,2,None,3,Steph,38.0,77.0,60.0,6.0,20.0,0.0,3.0,12.0,5.0,0.0,4.0,3.0,1.0,0.0,7.0,1.0,0.0,4.0,3.0,67.0,4.0,117,432.0
