Site,Date_mm/dd/yy,Avg_Depth_m,Start_Time,Duration_min,Visibility_m,Weather,Current,Boats,Researcher,Parrotfish,Rabbitfish,Butterflyfish,Angelfish,Cleaner_Wrasse,Batfish,Thicklip,Red_Breast,Slingjaw,Sweetlips,Squirrel/Soldier,Triggerfish,Porcupine/Puffer,Ray,Snapper<30,Snapper>30,Eel,Trevally,Emperorfish,Grouper<30,Grouper>30,Barracuda,Total_abundance_N
Green Rock,08/01/2020,10,14:00,30,18,3,None,1,GlobalReef,106.5,33.5,107.0,7.0,15.0,0.0,19.5,30.0,10.5,1.5,12.0,1.5,0.0,0.0,98.3,1.5,0.0,1.5,8.0,64.0,4.0,0.0,521.3
White Rock,09/01/2020,10,12:00,30,12,2,None,1,GlobalReef,41.7,40.7,58.7,3.7,11.3,0.0,12.3,25.3,5.3,0.0,40.0,1.7,0.0,0.7,93.3,0.3,0.0,11.7,5.7,46.3,8.0,0.0,406.7
Red Rock,09/01/2020,10,14:00,29,7,2,Light,1,GlobalReef,44.0,33.0,75.5,3.5,5.5,0.0,6.5,4.0,7.5,0.0,7.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,33.5,4.0,0.0,226.5
Twins,09/01/2020,10,13:00,26,12,3,None,3,GlobalReef,58.0,34.5,40.0,1.0,14.0,1.0,8.0,18.0,6.0,0.0,17.0,0.0,0.5,0.5,0.0,0.0,0.0,4.5,8.0,52.0,5.0,0.0,268.0
Green Rock,09/01/2020,10,12:00,30,7,3,None,1,GlobalReef,84.0,21.0,86.0,1.5,12.0,0.0,11.5,19.0,5.0,1.0,25.5,0.5,0.0,0.0,60.0,0.0,0.0,4.5,5.0,47.0,3.5,0.0,387.0
Twins,10/01/2020,10,14:00,27,12,2,None,4,GlobalReef,45.5,17.0,45.5,3.0,18.5,1.0,6.5,25.0,6.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,6.5,40.0,3.0,0.0,235.0
Red Rock,10/01/2020,10,12:00,30,7,1,None,1,GlobalReef,59.0,26.0,80.0,4.0,11.5,0.0,14.0,20.0,14.5,0.0,9.0,5.5,0.5,0.0,0.5,2.0,0.5,3.5,6.0,42.0,4.5,0.0,303.0
Green Rock,10/01/2020,10,14:00,30,18,3,None,1,GlobalReef,67.0,42.0,96.0,1.5,10.5,0.0,9.5,18.0,7.0,1.5,34.0,1.0,0.0,0.0,28.5,0.0,0.0,1.5,3.0,43.0,2.5,20.0,386.5
Red Rock,12/01/2020,10,12:00,29,7,2,Light,0,GlobalReef,28.3,24.3,73.0,2.0,12.0,0.0,9.3,10.7,7.3,0.3,13.7,2.0,0.0,0.0,1.3,0.7,0.0,0.3,0.7,45.3,2.3,0.0,233.7
White Rock,12/01/2020,10,14:00,30,7,2,None,2,GlobalReef,55.8,52.0,64.0,2.0,15.5,0.0,9.5,25.8,3.8,0.5,120.8,1.5,0.0,0.0,113.0,0.8,0.3,5.0,23.3,60.5,12.5,16.8,583.0
